Year,Activity,Count,"Distance (miles)","Ride Time","Ride Time (secs)","Ascent (feet)","Descent (feet)",Calories,"Average Distance (miles)","Average Ride Time","Average Ride Time (secs)","Average Ascent (feet)","Average Descent (feet)","Average Calories","Average Speed (mph)","Average Pace","Average Pace (secs)","Fastest Speed (mph)","Fastest Pace","Fastest Pace (secs)",Steps,"Maximum Cadence (steps/min)","Average Cadence (steps/min)","Maximum Heart Rate (bpm)","Average Heart Rate (bpm)","Maximum Cadence (rpm)","Average Cadence (rpm)","Maximum Power (watts)","Average Power (watts)","Normalized Power (watts)","Average Power Balance (%)","Power Output (kJ)","Variability Index","Max NP (0:20)","Max NP (1:00)","Max NP (5:00)","Max NP (10:00)","Max NP (20:00)","Max NP (1:00:00)"
2011,Cycle,1,4.56,0:12:15,735,8,24,160,4.56,0:12:15,735,8,24,160,22.34,0:02:41,161,48.43,0:01:14,74,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2012,Cycle,54,579.53,84:53:29,305609,46026,50223,40442,10.73,1:34:19,5659,852,930,749,6.83,0:08:47,527,49.58,0:00:00,0,0,0,0,180,153,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2012,Run,1,2.78,0:25:28,1528,10,33,421,2.78,0:25:28,1528,10,33,421,6.55,0:09:10,550,7.62,0:07:52,472,0,0,0,176,156,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2013,Cycle,71,1316.81,181:32:10,653530,114139,135709,82977,18.55,2:33:25,9205,1608,1911,1169,7.25,0:08:16,496,49.60,0:01:13,73,0,0,0,176,155,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2013,Walk,1,2.74,1:38:38,5918,715,699,474,2.74,1:38:38,5918,715,699,474,1.67,0:36:00,2160,5.99,0:10:01,601,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2014,Cycle,79,1240.19,185:49:24,668964,111303,120567,82396,15.70,2:21:08,8468,1409,1526,1043,6.67,0:08:59,539,49.59,0:01:13,73,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2014,Walk,1,7.33,5:16:39,18999,1990,1828,1330,7.33,5:16:39,18999,1990,1828,1330,1.39,0:43:12,2592,3.56,0:16:52,1012,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2015,Cycle,68,988.85,154:56:18,557778,73612,93978,58574,14.54,2:16:43,8203,1083,1382,861,6.38,0:09:24,564,49.55,0:01:13,73,0,0,0,160,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2015,Run,3,4.92,0:57:11,3431,0,0,690,1.64,0:19:04,1144,0,0,230,5.16,0:11:38,698,7.18,0:08:22,502,7524,174,149,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2015,Walk,2,18.11,4:02:54,14574,2124,2173,2527,9.06,2:01:27,7287,1062,1087,1263,4.47,0:13:25,805,37.64,0:01:36,96,9802,168,83,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2016,Cycle,68,879.00,149:05:43,536743,74251,77356,53913,12.93,2:11:33,7893,1092,1138,793,5.90,0:10:11,611,49.59,0:00:00,0,0,0,0,168,156,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2016,Walk,3,8.17,5:31:09,19869,1643,1694,1401,2.72,1:50:23,6623,548,565,467,1.48,0:40:31,2431,4.10,0:14:37,877,22182,226,67,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2017,Cycle,77,965.51,160:09:30,576570,72781,98646,75449,12.54,2:04:48,7488,945,1281,980,6.03,0:09:57,597,53.72,0:01:07,67,11770,135,76,209,131,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2017,Walk,4,15.66,6:08:11,22091,2949,2828,2956,3.91,1:32:03,5523,737,707,739,2.55,0:23:31,1411,12.37,0:04:51,291,19567,180,63,153,107,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2018,Cycle,99,944.51,187:13:52,674032,108885,116213,129161,9.54,1:53:28,6808,1100,1174,1305,5.04,0:11:54,714,187.42,0:00:19,19,0,0,0,206,135,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2018,Run,1,9.92,1:38:33,5913,0,0,531,9.92,1:38:33,5913,0,0,531,6.04,0:09:56,596,12.53,0:04:47,287,8517,141,86,119,83,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2018,Walk,5,11.50,8:10:17,29417,2106,3047,1711,2.30,1:38:03,5883,421,609,342,1.41,0:42:37,2557,12.38,0:04:51,291,25039,129,53,130,87,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2019,Cycle,155,1059.95,218:57:36,788256,149685,156667,181337,6.84,1:24:46,5086,966,1011,1170,4.84,0:12:24,744,50.67,0:01:11,71,0,0,0,183,139,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2019,Walk,1,7.70,3:58:12,14292,1738,1719,2032,7.70,3:58:12,14292,1738,1719,2032,1.94,0:30:55,1855,3.92,0:15:19,919,19407,139,81,139,103,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2020,Cycle,192,1482.56,291:39:33,1049973,207958,211092,228251,7.72,1:31:09,5469,1083,1099,1189,5.08,0:11:48,708,49.52,0:00:00,0,0,0,0,188,135,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2020,Walk,7,29.52,15:27:21,55641,6261,6713,5523,4.22,2:12:29,7949,894,959,789,1.91,0:31:25,1885,12.39,0:04:51,291,71080,140,77,138,89,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2021,Cycle,173,1318.18,250:15:37,900937,187526,190131,227457,7.62,1:26:48,5208,1084,1099,1315,5.27,0:11:23,683,49.48,0:01:13,73,0,0,0,180,131,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2021,Walk,4,18.58,9:49:06,35346,4041,4258,7261,4.64,2:27:17,8837,1010,1065,1815,1.89,0:31:43,1903,24.08,0:02:29,149,24405,133,71,148,101,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2022,Cycle,165,1742.91,264:28:02,952082,180291,184707,266673,10.56,1:36:10,5770,1093,1119,1616,6.59,0:09:06,546,49.51,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2022,Walk,7,37.32,14:38:15,52695,5118,5752,9913,5.33,2:05:28,7528,731,822,1416,2.55,0:23:32,1412,12.40,0:04:50,290,55250,144,76,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2023,Cycle,150,1496.20,259:59:58,935998,183607,165978,251596,9.97,1:44:00,6240,1224,1107,1677,5.75,0:10:26,626,49.66,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2023,Swim,5,47.20,11:09:25,40165,4175,8688,26529,9.44,2:13:53,8033,835,1738,5306,4.23,0:14:11,851,7.96,0:07:32,452,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2023,Walk,7,47.26,22:20:59,80459,8442,9056,16592,6.75,3:11:34,11494,1206,1294,2370,2.11,0:28:23,1703,12.40,0:04:50,290,103476,135,77,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2024,Cycle,188,2322.81,384:28:24,1384104,240821,242216,362445,12.36,2:02:42,7362,1281,1288,1928,6.04,0:09:56,596,54.13,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2024,Walk,5,42.76,13:23:02,48182,4721,5542,13682,8.55,2:40:36,9636,944,1108,2736,3.20,0:18:47,1127,12.39,0:04:51,291,54288,181,80,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2025,Cycle,59,744.50,123:32:07,444727,78225,78267,123145,12.62,2:05:38,7538,1326,1327,2087,6.03,0:09:57,597,52.23,0:01:09,69,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
2025,Walk,1,7.75,1:31:43,5503,504,504,2763,7.75,1:31:43,5503,504,504,2763,5.07,0:11:50,710,11.73,0:05:07,307,5650,165,62,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0
